
BUSES AND NODES IN ACTIVE CIRCUIT: lvtest

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...
"774"         0.416          ( 390952.161   , 392777.776   )     No           3          1    2    3 
"775"         0.416          ( 390943.66    , 392777.358   )     No           3          1    2    3 
"776"         0.416          ( 390906.708   , 392768.567   )     No           3          1    2    3 
"777"         0.416          ( 390925.5     , 392748.446   )     No           3          1    2    3 
"778"         0.416          ( 390940       , 392756       )     No           3          1    2    3 
"779"         0.416          ( 390983.29    , 392812.012   )     No           3          1    2    3 
"780"         0.416          ( 390978       , 392789       )     No           3          1    2    3 
"781"         0.416          ( 390980.951   , 392794.989   )     No           3          1    2    3 
"782"         0.416          ( 390968.299   , 392783.573   )     No           3          1    2    3 
"783"         0.416          ( 390952.189   , 392777.45    )     No           3          1    2    3 
"784"         0.416          ( 390943.563   , 392777.358   )     No           3          1    2    3 
"785"         0.416          ( 390906       , 392764       )     No           3          1    2    3 
"786"         0.416          ( 390926.112   , 392747.463   )     No           3          1    2    3 
"787"         0.416          ( 390985.762   , 392814.221   )     No           3          1    2    3 
"788"         0.416          ( 390981.082   , 392794.959   )     No           3          1    2    3 
"789"         0.416          ( 390968.41    , 392783.642   )     No           3          1    2    3 
"790"         0.416          ( 390952.227   , 392777.236   )     No           3          1    2    3 
"791"         0.416          ( 390943.473   , 392777.377   )     No           3          1    2    3 
"792"         0.416          ( 390926.444   , 392747.366   )     No           3          1    2    3 
"793"         0.416          ( 390924.179   , 392748.181   )     No           3          1    2    3 
"794"         0.416          ( 390988.243   , 392815.901   )     No           3          1    2    3 
"795"         0.416          ( 390981.202   , 392794.959   )     No           3          1    2    3 
"796"         0.416          ( 390968.576   , 392783.781   )     No           3          1    2    3 
"797"         0.416          ( 390952.283   , 392777.022   )     No           3          1    2    3 
"798"         0.416          ( 390943.39    , 392777.416   )     No           3          1    2    3 
"799"         0.416          ( 390926.734   , 392747.283   )     No           3          1    2    3 
"800"         0.416          ( 390921.1     , 392749.367   )     No           3          1    2    3 
"801"         0.416          ( 390988.444   , 392815.944   )     No           3          1    2    3 
"802"         0.416          ( 390990.626   , 392817.377   )     No           3          1    2    3 
"803"         0.416          ( 390981.333   , 392794.979   )     No           3          1    2    3 
"804"         0.416          ( 390969.687   , 392784.793   )     No           3          1    2    3 
"805"         0.416          ( 390952.311   , 392776.92    )     No           3          1    2    3 
"806"         0.416          ( 390943.306   , 392777.506   )     No           3          1    2    3 
"807"         0.416          ( 390926.982   , 392747.256   )     No           3          1    2    3 
"808"         0.416          ( 390918.462   , 392750.361   )     No           3          1    2    3 
"809"         0.416          ( 390988.65    , 392815.95    )     No           3          1    2    3 
"810"         0.416          ( 390993.25    , 392818.98    )     No           3          1    2    3 
"811"         0.416          ( 390993.25    , 392818.98    )     No           3          1    2    3 
"812"         0.416          ( 390981.413   , 392795.009   )     No           3          1    2    3 
"813"         0.416          ( 390973       , 392785       )     No           3          1    2    3 
"814"         0.416          ( 390952.366   , 392776.761   )     No           3          1    2    3 
"815"         0.416          ( 390943.035   , 392777.828   )     No           3          1    2    3 
"816"         0.416          ( 390927.176   , 392747.256   )     No           3          1    2    3 
"817"         0.416          ( 390917       , 392751       )     No           3          1    2    3 
"818"         0.416          ( 390988.854   , 392815.918   )     No           3          1    2    3 
"819"         0.416          ( 390995.557   , 392820.131   )     No           3          1    2    3 
"820"         0.416          ( 390995.557   , 392820.131   )     No           3          1    2    3 
"821"         0.416          ( 390981.524   , 392795.079   )     No           3          1    2    3 
"822"         0.416          ( 390952.441   , 392776.622   )     No           3          1    2    3 
"823"         0.416          ( 390942.694   , 392778.175   )     No           3          1    2    3 
"824"         0.416          ( 390927.369   , 392747.297   )     No           3          1    2    3 
"825"         0.416          ( 390989.048   , 392815.851   )     No           3          1    2    3 
"826"         0.416          ( 390997.983   , 392821.471   )     No           3          1    2    3 
"827"         0.416          ( 390997.983   , 392821.471   )     No           3          1    2    3 
"828"         0.416          ( 390982.359   , 392795.763   )     No           3          1    2    3 
"829"         0.416          ( 390952.581   , 392776.445   )     No           3          1    2    3 
"830"         0.416          ( 390942.333   , 392778.516   )     No           3          1    2    3 
"831"         0.416          ( 390927.535   , 392747.339   )     No           3          1    2    3 
"832"         0.416          ( 390989.227   , 392815.749   )     No           3          1    2    3 
"833"         0.416          ( 390999.996   , 392822.532   )     No           3          1    2    3 
"834"         0.416          ( 390999.996   , 392822.532   )     No           3          1    2    3 
"835"         0.416          ( 390986       , 392795       )     No           3          1    2    3 
"836"         0.416          ( 390954.1     , 392774.61    )     No           3          1    2    3 
"837"         0.416          ( 390927.645   , 392747.394   )     No           3          1    2    3 
"838"         0.416          ( 390989.385   , 392815.617   )     No           3          1    2    3 
"839"         0.416          ( 391002.28    , 392823.399   )     No           3          1    2    3 
"840"         0.416          ( 391002.28    , 392823.399   )     No           3          1    2    3 
"841"         0.416          ( 390954.732   , 392773.897   )     No           3          1    2    3 
"842"         0.416          ( 390927.77    , 392747.463   )     No           3          1    2    3 
"843"         0.416          ( 390989.516   , 392815.458   )     No           3          1    2    3 
"844"         0.416          ( 391004.255   , 392819.014   )     No           3          1    2    3 
"845"         0.416          ( 391005.615   , 392824.81    )     No           3          1    2    3 
"846"         0.416          ( 391005.615   , 392824.81    )     No           3          1    2    3 
"847"         0.416          ( 390955.053   , 392773.535   )     No           3          1    2    3 
"848"         0.416          ( 390927.935   , 392747.601   )     No           3          1    2    3 
"849"         0.416          ( 390989.5735  , 392815.3755  )     No           3          1    2    3 
"850"         0.416          ( 391004.582   , 392818.391   )     No           3          1    2    3 
"851"         0.416          ( 391009.67    , 392826.423   )     No           3          1    2    3 
"852"         0.416          ( 391009.67    , 392826.423   )     No           3          1    2    3 
"853"         0.416          ( 390955.134   , 392773.465   )     No           3          1    2    3 
"854"         0.416          ( 390928.184   , 392747.849   )     No           3          1    2    3 
"855"         0.416          ( 390990.602   , 392813.363   )     No           3          1    2    3 
"856"         0.416          ( 391005.27    , 392816.532   )     No           3          1    2    3 
"857"         0.416          ( 391016.001   , 392829.07    )     No           3          1    2    3 
"858"         0.416          ( 391016.001   , 392829.07    )     No           3          1    2    3 
"859"         0.416          ( 390955.204   , 392773.418   )     No           3          1    2    3 
"860"         0.416          ( 390931       , 392748       )     No           3          1    2    3 
"861"         0.416          ( 390935       , 392751       )     No           3          1    2    3 
"862"         0.416          ( 390991.411   , 392812.136   )     No           3          1    2    3 
"863"         0.416          ( 391006.257   , 392814.424   )     No           3          1    2    3 
"864"         0.416          ( 391018.607   , 392830.063   )     No           3          1    2    3 
"865"         0.416          ( 391018.607   , 392830.063   )     No           3          1    2    3 
"866"         0.416          ( 390955.285   , 392773.378   )     No           3          1    2    3 
"867"         0.416          ( 390991.997   , 392810.992   )     No           3          1    2    3 
"868"         0.416          ( 391006.471   , 392814.211   )     No           3          1    2    3 
"869"         0.416          ( 391020.304   , 392830.435   )     No           3          1    2    3 
"870"         0.416          ( 391020.304   , 392830.435   )     No           3          1    2    3 
"871"         0.416          ( 390955.355   , 392773.36    )     No           3          1    2    3 
"872"         0.416          ( 390992.556   , 392809.765   )     No           3          1    2    3 
"873"         0.416          ( 391006.765   , 392813.971   )     No           3          1    2    3 
"874"         0.416          ( 391005.777   , 392813.73    )     No           3          1    2    3 
"875"         0.416          ( 391021.504   , 392830.435   )     No           3          1    2    3 
"876"         0.416          ( 391021.504   , 392830.435   )     No           3          1    2    3 
"877"         0.416          ( 390955.425   , 392773.355   )     No           3          1    2    3 
"878"         0.416          ( 390993.762   , 392807.804   )     No           3          1    2    3 
"879"         0.416          ( 391007.112   , 392813.917   )     No           3          1    2    3 
"880"         0.416          ( 391004.149   , 392812.61    )     No           3          1    2    3 
"881"         0.416          ( 391022.496   , 392830.239   )     No           3          1    2    3 
"882"         0.416          ( 391022.496   , 392830.239   )     No           3          1    2    3 
"883"         0.416          ( 390955.495   , 392773.355   )     No           3          1    2    3 
"884"         0.416          ( 390994.075   , 392807.334   )     No           3          1    2    3 
"885"         0.416          ( 391007.646   , 392813.917   )     No           3          1    2    3 
"886"         0.416          ( 391005       , 392808       )     No           3          1    2    3 
"887"         0.416          ( 390955.564   , 392773.36    )     No           3          1    2    3 
"888"         0.416          ( 390994.421   , 392806.816   )     No           3          1    2    3 
"889"         0.416          ( 390992.316   , 392804.712   )     No           3          1    2    3 
"890"         0.416          ( 391008.286   , 392814.131   )     No           3          1    2    3 
"891"         0.416          ( 390956.756   , 392773.691   )     No           3          1    2    3 
"892"         0.416          ( 390994.97    , 392805.953   )     No           3          1    2    3 
"893"         0.416          ( 390990.811   , 392802.497   )     No           3          1    2    3 
"894"         0.416          ( 391010.609   , 392815.358   )     No           3          1    2    3 
"895"         0.416          ( 390952.377   , 392769.85    )     No           3          1    2    3 
"896"         0.416          ( 390960       , 392774       )     No           3          1    2    3 
"897"         0.416          ( 390995.113   , 392805.81    )     No           3          1    2    3 
"898"         0.416          ( 390991       , 392798       )     No           3          1    2    3 
"899"         0.416          ( 391014       , 392812       )     No           3          1    2    3 
"900"         0.416          ( 390952       , 392766       )     No           3          1    2    3 
"901"         0.416          ( 390995.257   , 392805.718   )     No           3          1    2    3 
"902"         0.416          ( 390995.401   , 392805.718   )     No           3          1    2    3 
"903"         0.416          ( 390995.584   , 392805.758   )     No           3          1    2    3 
"904"         0.416          ( 390995.885   , 392805.914   )     No           3          1    2    3 
"905"         0.416          ( 390996.355   , 392806.267   )     No           3          1    2    3 
"906"         0.416          ( 391001       , 392805       )     No           3          1    2    3 
